activity,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
1,18.076381486809765,-8.046410824075856,18.076381486809765,1.0613190786715614,0.034978623780774994,1596.9190000000033,1483.014999999999,1595.8170207760024,620,0,0.29309207049653996,-0.5079666451556014,0.5079666451556014,0.29309207049653996,0.6283185840707964,1.2123893805309736,1.8407079646017699,9.981913684238723e-15,-0.24928487653455653,-2.4178469446951073e-17,-2.7096039881622827,2.7590910663469678e-17,-2.91017502441251,1.7381621255587736e-16,-1.1333065241255535,2.937623997127051,9252.140835747925,181.85064112260665,166.85934864231268,54.675845223240394,98.67867426714318,82.72918627104683,28.28491436104763,18.280455343911452,18.892827779607252,10.892959996153248,11.465053733169537,6.436603028090875,6.850216166333994,-10.880000000000004,3.573209769527863e+88,21.74807837943429,44.97815443923392,28.679631044383495,820.7442602693008,106.11820712617143,86.53741744341995,25.4131574099076,90.03889559750525,1.4311996572326342,0.0,71.91805776107734,0.0,0.0,11.761884949391115,109.8579176946673,109.31873016178892,133.86240911486985,71.32077530257793,239.8484072751454,111.27250582174477,2.8623993144652684,68.28485988725187,46.4546986443574,210.0639306174301,31.9205528137811,95.37227417786531,0.0,11.49902366656781,86.02367774287727,0.0,11.49902366656781,11.761884949391115,221.77990509895886,91.03683246506549,23.575830741452314,254.07981135287682,78.68191970277431,28.236841566564,10.902924932081056,0.0,561.18,574.8678456289981,79.26741796100153,67.12352057700551,0.0,0.0,0.0,0.0,0.0,0.0,14.954479336014472,81.36538871558967,1028.9482281395979,-2.727272427947355,246.97563253104525,-29.120034236997775,-33.171419318369075,-105.87882252383072,-120.57968510220654,-84.1048392313906,-68.65686703508547,-4.518254128148515,0.5454545454545454,113,22,35,0,1,1,3,1,4,20,18,36,38,0,1,1,5,-1.6432000000000304,420.23860000000093,0,1,0,0,0,1,1,1,0,0,15,15,0,0,0,1,12,4,0,1,0,1,0,0,0,0,0,15,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0
1,18.85342212441892,-8.325459370217843,18.85342212441892,2.0072504617414486,0.02561364629484888,1863.303000000004,1727.2229999999988,1861.9840861000027,724,0,0.29309207049653996,-0.5079666451556014,0.5079666451556014,0.29309207049653996,0.40601503759398494,0.7293233082706767,1.0902255639097744,4.320348920889359e-15,-0.24572031407095699,-1.4938781045785277e-16,-2.698987299578665,-1.2720036620685958e-17,-2.8812837828686377,4.2557351120612626e-16,-1.0870814392015122,2.4882601323171105,11365.666950878953,214.55486523482102,198.76759693277654,64.58409351370426,117.27625713680564,99.15125566097461,33.495838132975265,21.36787738589712,21.98024982159292,13.230094889276879,13.802188626293168,7.747827281901126,8.161440420144244,-12.420000000000003,3.3023905644661257e+108,25.19900001649127,55.168663473973474,32.48809722352109,973.2040083710948,119.02199158087913,112.2570054132409,11.294736626625605,78.22453613880222,1.4311996572326342,0.0,62.32898339293368,0.0,0.0,11.761884949391115,90.63628061494944,196.26743358003137,176.26753240205417,110.32443832827795,274.46227591551514,88.5552214309607,2.8623993144652684,61.258338504833134,28.598584878631364,186.92735784412466,113.96310898770419,184.44117664176443,0.0,28.747559166419524,79.40491681356181,0.0,28.747559166419524,11.761884949391115,305.4506291712522,100.56653280090998,0.0,270.23455883805013,151.06046769158246,22.589473253251203,0.0,0.0,521.0099999999999,692.4913474544377,115.3902198512463,62.32898339293368,0.0,0.0,0.0,0.0,0.0,0.0,29.16506819741462,70.4404037883859,1279.1222030953968,-2.9263698028639347,214.74855658683987,-12.007628032185956,-45.411881289663306,-81.54407425312401,-169.53732865389398,-127.07006666992135,-73.56938980337176,-18.5540211772125,0.4895833333333333,133,18,36,0,1,1,6,0,6,24,13,37,50,0,1,1,7,1.7937999999999663,504.9078000000015,0,1,0,0,0,0,0,1,0,0,13,13,0,0,0,6,6,5,0,6,0,0,0,0,0,0,0,13,0,0,0,0,0,0,6,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1,18.143741593868498,-7.62268569995722,18.143741593868498,1.9897810957207451,0.04711310787980754,1723.9720000000027,1617.1239999999987,1722.7428527920024,658,0,0.29309207049653996,-0.5079666451556014,0.5079666451556014,0.29309207049653996,0.5080645161290323,0.9354838709677419,1.4193548387096775,10.585800561907996,-0.24833376586081266,2.4759855113845495e-16,-2.6852756244548273,0.04770445022214625,-2.900699964090104,1.1160741796896685,-1.1332993678262067,1.8408640140620902,10207.171609107036,181.8642663115795,165.33420443674052,60.15070101766824,102.24760091110842,83.00807746665257,32.02234225826156,20.864068417448784,21.476440853144577,12.552446828089469,13.124540565105757,7.5930990398782665,8.006712178121388,-13.57000000000001,3.473000391796762e+92,26.254155409271817,45.35199723152992,28.260855134638774,870.2548065722027,104.61829085537339,100.96226878661525,19.765789096594805,84.13171586815373,5.724798628930537,0.0,67.12352057700551,0.0,0.0,11.761884949391115,134.5521583878573,131.23297202515883,119.98921858203286,88.25074585614223,236.4262079697452,94.46240116031223,7.155998286163171,62.89795299458471,17.333391636815627,168.952577913656,31.920552813781097,220.21672167177795,0.0,28.747559166419524,69.27443043813635,0.0,28.747559166419524,11.761884949391115,235.41565537524818,111.7339948863112,5.893957685363079,204.24753078589234,181.27256122989897,19.765789096594805,0.0,0.0,528.1799999999998,624.5311573573466,91.56316144437545,62.32898339293368,0.0,0.0,0.0,0.0,0.0,0.0,30.280903909336107,59.409157509263494,989.2086579453646,-2.578100072184812,233.82162582179842,-8.525742050951772,-38.50574350311561,-82.73450180250492,-163.33308369610708,-78.4171229296156,-31.118654543138003,-4.400668502878552,0.3707865168539326,124,19,34,0,2,2,7,0,7,21,17,35,31,0,2,2,9,0.7166999999999771,456.29980000000126,0,1,0,0,0,0,0,4,0,0,14,14,0,0,0,2,10,2,0,1,0,0,0,0,0,0,0,14,0,0,0,0,0,0,7,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0
0,18.377745395979517,-7.833302017410491,18.377745395979517,1.9125681993641113,0.04770314092524421,1576.8840000000032,1467.011999999999,1575.7795726480024,610,0,0.29309207049653996,-0.5079666451556014,0.5079666451556014,0.29309207049653996,0.6160714285714286,1.2053571428571428,1.7857142857142858,10.093453943199503,-0.24928379852006735,-1.2405497557630825e-17,-2.6977203815111506,5.226342721666443e-17,-2.8883614961335558,3.92578961718621e-16,-1.125752714197739,2.5105003752522284,9078.18456881899,177.1350981729828,162.46492145131276,54.28141803224048,96.63512850843016,81.000028843279,28.239038506279563,18.255095795100843,18.86746823079664,11.094635099682245,11.666728836698534,6.503091384159307,6.916704522402428,-11.030000000000001,2.339765946160502e+88,21.83614791841243,43.537957360225796,26.32205188849535,810.0836971240315,98.92863896670225,92.01854864163812,16.942104939938407,82.7005162109211,2.8623993144652684,0.0,67.12352057700551,0.0,0.0,11.761884949391115,88.49276793314786,127.59444730707904,138.12499313350293,80.62719585451838,234.06119768724486,94.46240116031223,2.8623993144652684,62.07814574970892,28.947066297904975,176.93137655427708,65.90387844186006,118.93250528940072,0.0,22.99804733313562,69.11138366108592,0.0,22.99804733313562,11.761884949391115,247.4808664247089,92.61522018232304,11.787915370726157,234.97721148773152,96.67869932261274,19.765789096594805,0.0,0.0,485.15999999999985,570.2534208265995,78.46190587896643,67.12352057700551,0.0,0.0,0.0,0.0,0.0,0.0,19.69134228981452,71.6468282559242,1000.351884949738,-2.580696139231904,224.25556286032466,-15.766332864911202,-31.758073496734028,-90.15579075743848,-124.61706731048753,-78.96613858381254,-69.5959015647704,-9.000780426009689,0.5128205128205128,112,16,33,0,2,2,4,0,4,20,13,34,34,0,2,2,6,-0.2840000000000173,415.77140000000105,0,0,0,0,0,0,0,2,0,0,14,14,0,0,0,4,8,3,0,3,0,0,0,0,0,0,0,14,0,0,0,0,0,0,4,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0
0,18.06699636290893,-7.986259100930422,18.06699636290893,1.983397073722613,0.03685484756178318,1621.925000000003,1509.0289999999986,1620.8010363640026,628,0,0.29309207049653996,-0.5079666451556014,0.5079666451556014,0.29309207049653996,0.5565217391304348,1.0434782608695652,1.5826086956521739,10.095621712073488,-0.24928484173362425,-2.485962923269275e-17,-2.7173086077549686,9.780051557513823e-17,-2.8980528527512908,3.0763856125687987e-16,-1.1340725407911396,2.953951032901408,9264.25117684687,182.28979871136204,166.82038333727658,55.6368799182043,99.42009144371009,82.72352471799272,28.765431708529583,18.5109726913934,19.123345127089195,10.904741209014732,11.476834946031024,6.352667061773681,6.766280200016803,-11.560000000000008,1.0676208663906736e+89,22.54218773163226,45.96283930927997,30.052191017739396,830.750437026096,105.84010842461151,98.03644110998776,22.589473253251203,88.6076959402726,4.293598971697903,0.0,71.91805776107734,0.0,0.0,11.761884949391115,102.19655216773918,127.11548009111273,127.39382366124522,67.98227438796839,242.1335313095962,100.36958088966374,4.293598971697903,62.89795299458471,40.56074095899432,196.6530532572181,38.89637971406334,118.93250528940072,0.0,22.99804733313562,80.7138643895889,0.0,22.99804733313562,11.761884949391115,229.13862828125224,97.40975736639487,17.681873056089238,245.93947860998244,96.67869932261274,25.4131574099076,0.0,0.0,556.8299999999999,581.3082604370604,76.48481732650309,67.12352057700551,0.0,0.0,0.0,0.0,0.0,0.0,20.063287527121688,82.75550485066428,1023.7716919893301,-2.657617295940165,245.57224455253726,-18.84220665864856,-34.26703602701576,-103.05933949118076,-133.58687392709882,-81.34737670150152,-63.230278452651184,-4.519874654497549,0.5063291139240507,115,21,35,0,1,1,4,0,4,21,17,36,38,0,1,1,5,-1.1453000000000295,425.6400000000011,0,0,0,0,0,0,0,3,0,0,15,15,0,0,0,2,10,4,0,2,0,0,0,0,0,0,0,15,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0
1,18.076381486809765,-8.046410824075856,18.076381486809765,1.0613190786715614,0.034978623780774994,1596.9190000000033,1483.014999999999,1595.8170207760024,620,0,0.29309207049653996,-0.5079666451556014,0.5079666451556014,0.29309207049653996,0.6283185840707964,1.2123893805309736,1.8407079646017699,9.981913684238723e-15,-0.24928487653455653,-2.4178469446951073e-17,-2.7096039881622827,2.7590910663469678e-17,-2.91017502441251,1.7381621255587736e-16,-1.1333065241255535,2.937623997127051,9252.140835747925,181.85064112260665,166.85934864231268,54.675845223240394,98.67867426714318,82.72918627104683,28.28491436104763,18.280455343911452,18.892827779607252,10.892959996153248,11.465053733169537,6.436603028090875,6.850216166333994,-10.880000000000004,3.573209769527863e+88,21.74807837943429,44.97815443923392,28.679631044383495,820.7442602693008,106.11820712617143,86.53741744341995,25.4131574099076,90.03889559750525,1.4311996572326342,0.0,71.91805776107734,0.0,0.0,11.761884949391115,109.8579176946673,109.31873016178892,133.86240911486985,71.32077530257793,239.8484072751454,111.27250582174477,2.8623993144652684,68.28485988725187,46.4546986443574,210.0639306174301,31.9205528137811,95.37227417786531,0.0,11.49902366656781,86.02367774287727,0.0,11.49902366656781,11.761884949391115,221.77990509895886,91.03683246506549,23.575830741452314,254.07981135287682,78.68191970277431,28.236841566564,10.902924932081056,0.0,561.18,574.8678456289981,79.26741796100153,67.12352057700551,0.0,0.0,0.0,0.0,0.0,0.0,14.954479336014472,81.36538871558967,1028.9482281395979,-2.727272427947355,246.97563253104525,-29.120034236997775,-33.171419318369075,-105.87882252383072,-120.57968510220654,-84.1048392313906,-68.65686703508547,-4.518254128148515,0.5454545454545454,113,22,35,0,1,1,3,1,4,20,18,36,38,0,1,1,5,-1.6432000000000304,420.23860000000093,0,1,0,0,0,1,1,1,0,0,15,15,0,0,0,1,12,4,0,1,0,1,0,0,0,0,0,15,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0
1,18.85342212441892,-8.325459370217843,18.85342212441892,2.0072504617414486,0.02561364629484888,1863.303000000004,1727.2229999999988,1861.9840861000027,724,0,0.29309207049653996,-0.5079666451556014,0.5079666451556014,0.29309207049653996,0.40601503759398494,0.7293233082706767,1.0902255639097744,4.320348920889359e-15,-0.24572031407095699,-1.4938781045785277e-16,-2.698987299578665,-1.2720036620685958e-17,-2.8812837828686377,4.2557351120612626e-16,-1.0870814392015122,2.4882601323171105,11365.666950878953,214.55486523482102,198.76759693277654,64.58409351370426,117.27625713680564,99.15125566097461,33.495838132975265,21.36787738589712,21.98024982159292,13.230094889276879,13.802188626293168,7.747827281901126,8.161440420144244,-12.420000000000003,3.3023905644661257e+108,25.19900001649127,55.168663473973474,32.48809722352109,973.2040083710948,119.02199158087913,112.2570054132409,11.294736626625605,78.22453613880222,1.4311996572326342,0.0,62.32898339293368,0.0,0.0,11.761884949391115,90.63628061494944,196.26743358003137,176.26753240205417,110.32443832827795,274.46227591551514,88.5552214309607,2.8623993144652684,61.258338504833134,28.598584878631364,186.92735784412466,113.96310898770419,184.44117664176443,0.0,28.747559166419524,79.40491681356181,0.0,28.747559166419524,11.761884949391115,305.4506291712522,100.56653280090998,0.0,270.23455883805013,151.06046769158246,22.589473253251203,0.0,0.0,521.0099999999999,692.4913474544377,115.3902198512463,62.32898339293368,0.0,0.0,0.0,0.0,0.0,0.0,29.16506819741462,70.4404037883859,1279.1222030953968,-2.9263698028639347,214.74855658683987,-12.007628032185956,-45.411881289663306,-81.54407425312401,-169.53732865389398,-127.07006666992135,-73.56938980337176,-18.5540211772125,0.4895833333333333,133,18,36,0,1,1,6,0,6,24,13,37,50,0,1,1,7,1.7937999999999663,504.9078000000015,0,1,0,0,0,0,0,1,0,0,13,13,0,0,0,6,6,5,0,6,0,0,0,0,0,0,0,13,0,0,0,0,0,0,6,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1,18.143741593868498,-7.62268569995722,18.143741593868498,1.9897810957207451,0.04711310787980754,1723.9720000000027,1617.1239999999987,1722.7428527920024,658,0,0.29309207049653996,-0.5079666451556014,0.5079666451556014,0.29309207049653996,0.5080645161290323,0.9354838709677419,1.4193548387096775,10.585800561907996,-0.24833376586081266,2.4759855113845495e-16,-2.6852756244548273,0.04770445022214625,-2.900699964090104,1.1160741796896685,-1.1332993678262067,1.8408640140620902,10207.171609107036,181.8642663115795,165.33420443674052,60.15070101766824,102.24760091110842,83.00807746665257,32.02234225826156,20.864068417448784,21.476440853144577,12.552446828089469,13.124540565105757,7.5930990398782665,8.006712178121388,-13.57000000000001,3.473000391796762e+92,26.254155409271817,45.35199723152992,28.260855134638774,870.2548065722027,104.61829085537339,100.96226878661525,19.765789096594805,84.13171586815373,5.724798628930537,0.0,67.12352057700551,0.0,0.0,11.761884949391115,134.5521583878573,131.23297202515883,119.98921858203286,88.25074585614223,236.4262079697452,94.46240116031223,7.155998286163171,62.89795299458471,17.333391636815627,168.952577913656,31.920552813781097,220.21672167177795,0.0,28.747559166419524,69.27443043813635,0.0,28.747559166419524,11.761884949391115,235.41565537524818,111.7339948863112,5.893957685363079,204.24753078589234,181.27256122989897,19.765789096594805,0.0,0.0,528.1799999999998,624.5311573573466,91.56316144437545,62.32898339293368,0.0,0.0,0.0,0.0,0.0,0.0,30.280903909336107,59.409157509263494,989.2086579453646,-2.578100072184812,233.82162582179842,-8.525742050951772,-38.50574350311561,-82.73450180250492,-163.33308369610708,-78.4171229296156,-31.118654543138003,-4.400668502878552,0.3707865168539326,124,19,34,0,2,2,7,0,7,21,17,35,31,0,2,2,9,0.7166999999999771,456.29980000000126,0,1,0,0,0,0,0,4,0,0,14,14,0,0,0,2,10,2,0,1,0,0,0,0,0,0,0,14,0,0,0,0,0,0,7,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0
0,18.377745395979517,-7.833302017410491,18.377745395979517,1.9125681993641113,0.04770314092524421,1576.8840000000032,1467.011999999999,1575.7795726480024,610,0,0.29309207049653996,-0.5079666451556014,0.5079666451556014,0.29309207049653996,0.6160714285714286,1.2053571428571428,1.7857142857142858,10.093453943199503,-0.24928379852006735,-1.2405497557630825e-17,-2.6977203815111506,5.226342721666443e-17,-2.8883614961335558,3.92578961718621e-16,-1.125752714197739,2.5105003752522284,9078.18456881899,177.1350981729828,162.46492145131276,54.28141803224048,96.63512850843016,81.000028843279,28.239038506279563,18.255095795100843,18.86746823079664,11.094635099682245,11.666728836698534,6.503091384159307,6.916704522402428,-11.030000000000001,2.339765946160502e+88,21.83614791841243,43.537957360225796,26.32205188849535,810.0836971240315,98.92863896670225,92.01854864163812,16.942104939938407,82.7005162109211,2.8623993144652684,0.0,67.12352057700551,0.0,0.0,11.761884949391115,88.49276793314786,127.59444730707904,138.12499313350293,80.62719585451838,234.06119768724486,94.46240116031223,2.8623993144652684,62.07814574970892,28.947066297904975,176.93137655427708,65.90387844186006,118.93250528940072,0.0,22.99804733313562,69.11138366108592,0.0,22.99804733313562,11.761884949391115,247.4808664247089,92.61522018232304,11.787915370726157,234.97721148773152,96.67869932261274,19.765789096594805,0.0,0.0,485.15999999999985,570.2534208265995,78.46190587896643,67.12352057700551,0.0,0.0,0.0,0.0,0.0,0.0,19.69134228981452,71.6468282559242,1000.351884949738,-2.580696139231904,224.25556286032466,-15.766332864911202,-31.758073496734028,-90.15579075743848,-124.61706731048753,-78.96613858381254,-69.5959015647704,-9.000780426009689,0.5128205128205128,112,16,33,0,2,2,4,0,4,20,13,34,34,0,2,2,6,-0.2840000000000173,415.77140000000105,0,0,0,0,0,0,0,2,0,0,14,14,0,0,0,4,8,3,0,3,0,0,0,0,0,0,0,14,0,0,0,0,0,0,4,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0
0,17.245896020420467,-7.3534249097396565,17.245896020420467,1.253186662435592,0.04369154155806001,1499.7170000000026,1404.964999999999,1498.6703565480022,574,0,0.29309207049653996,-0.5079666451556014,0.5079666451556014,0.29309207049653996,0.6074766355140186,1.1121495327102804,1.6261682242990654,10.517391121424211,-0.24840539041446932,1.0529022878026159e-16,-2.687720073071198,2.492746078332968e-16,-2.8939092863362097,8.957465697030182e-16,-1.1332403896054288,2.065937043060891,8528.36544113189,159.8671489805517,145.00388675634886,51.820383337276574,88.82073834510098,72.46672509129701,27.350272868333754,17.571847504636985,18.18421994033278,10.418681710905899,10.99077544792219,6.269628348434593,6.6832414866777174,-11.260000000000003,8.982115716901006e+77,22.428540626700507,40.29285098906899,25.792724055499008,754.5275418277101,94.64081478958815,73.31708754130021,21.177631174923004,85.56291552538637,1.4311996572326342,0.0,67.12352057700551,4.9839785209472085,0.0,11.761884949391115,116.42490226486743,73.05516000605715,117.7394334288671,85.01469870461938,207.80522659418656,94.46240116031223,4.293598971697903,72.85893478576118,17.333391636815627,163.12074578689322,31.379460039214457,155.2299563320201,0.0,5.749511833283905,64.53756748433631,0.0,5.749511833283905,11.761884949391115,231.8176542537786,98.98814508365243,5.893957685363079,185.02465230507312,127.28222237038364,21.177631174923004,0.0,0.0,507.1699999999999,535.1504230533533,68.26026598948177,62.32898339293368,0.0,0.0,0.0,0.0,0.0,0.0,20.310403094268846,66.18315161014775,851.3525957954832,-2.492903482703494,226.34388492197667,-15.446841203083352,-30.657390240088176,-70.91910386602427,-120.14136197327592,-73.93740102279409,-42.434812262824494,0.0,0.4383561643835616,107,18,33,0,2,2,4,1,5,19,16,34,25,0,2,2,7,-3.1588000000000225,389.36690000000084,0,2,0,0,0,2,1,1,0,0,14,14,0,0,0,3,11,2,0,1,0,1,0,0,0,0,0,14,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0
