activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,18961437,[],CHEMBL4334289,Inhibition of C-terminal His6-tagged linked Zika virus NS2B-NS3 protease domain expressed in Escherichia coli Bl21(DE3) using Bz-Nle-Lys-Lys-Arg-AMC as substrate after 30 mins by fluorophotometric method,B,,,BAO_0000190,BAO_0000019,assay format,CC[C@H](C)[C@@H]1NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](C(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](Cc2ccc(OC)cc2)N(C)C(=O)[C@H]([C@@H](C)CC)NC(=O)[C@H](CCCCN)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)CSC[C@@H](C(N)=O)NC1=O,,,CHEMBL4330179,ACS Med Chem Lett,2019,"{'bei': '3.68', 'le': None, 'lle': None, 'sei': None}",CHEMBL4483351,,CHEMBL4483351,5.88,0,http://www.openphacts.org/units/Nanomolar,3163574,=,1,1,=,,IC50,nM,,1320.0,CHEMBL4523954,Zika virus,Genome polyprotein,64320,,,IC50,uM,UO_0000065,,1.32
,18961438,[],CHEMBL4334289,Inhibition of C-terminal His6-tagged linked Zika virus NS2B-NS3 protease domain expressed in Escherichia coli Bl21(DE3) using Bz-Nle-Lys-Lys-Arg-AMC as substrate after 30 mins by fluorophotometric method,B,,,BAO_0000190,BAO_0000019,assay format,COc1ccc(C[C@H]2C(=O)N[C@@H](CCCCN)C(=O)N(C)[C@@H](Cc3ccccc3)C(=O)N[C@@H](CCCCN)C(=O)N(C)[C@@H](CO)C(=O)N(C)[C@@H](Cc3ccc(OC)cc3)C(=O)N[C@@H](CCCCN)C(=O)N(C)[C@@H](Cc3ccc(OC)cc3)C(=O)N(C)[C@@H](Cc3ccc(OC)cc3)C(=O)N[C@@H](CCCCN)C(=O)N[C@H](C(N)=O)CSCC(=O)N[C@@H](Cc3ccc(O)cc3)C(=O)N2C)cc1,,,CHEMBL4330179,ACS Med Chem Lett,2019,"{'bei': '3.33', 'le': None, 'lle': None, 'sei': None}",CHEMBL4452943,,CHEMBL4452943,6.21,0,http://www.openphacts.org/units/Nanomolar,3163575,=,1,1,=,,IC50,nM,,620.0,CHEMBL4523954,Zika virus,Genome polyprotein,64320,,,IC50,uM,UO_0000065,,0.62
,18961439,[],CHEMBL4334289,Inhibition of C-terminal His6-tagged linked Zika virus NS2B-NS3 protease domain expressed in Escherichia coli Bl21(DE3) using Bz-Nle-Lys-Lys-Arg-AMC as substrate after 30 mins by fluorophotometric method,B,,,BAO_0000190,BAO_0000019,assay format,COc1ccc(C[C@H]2C(=O)N[C@@H](Cc3ccccc3)C(=O)N[C@H](C(N)=O)CSCC(=O)N[C@@H](Cc3ccc(O)cc3)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](Cc3ccccc3)C(=O)N[C@@H](Cc3ccc(O)cc3)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc3ccc(O)cc3)C(=O)N3CCC[C@H]3C(=O)N[C@@H](Cc3ccc(O)cc3)C(=O)N2C)cc1,,,CHEMBL4330179,ACS Med Chem Lett,2019,"{'bei': '3.18', 'le': None, 'lle': None, 'sei': None}",CHEMBL4555617,,CHEMBL4555617,5.48,0,http://www.openphacts.org/units/Nanomolar,3163576,=,1,1,=,,IC50,nM,,3300.0,CHEMBL4523954,Zika virus,Genome polyprotein,64320,,,IC50,uM,UO_0000065,,3.3
,18961440,[],CHEMBL4334289,Inhibition of C-terminal His6-tagged linked Zika virus NS2B-NS3 protease domain expressed in Escherichia coli Bl21(DE3) using Bz-Nle-Lys-Lys-Arg-AMC as substrate after 30 mins by fluorophotometric method,B,,,BAO_0000190,BAO_0000019,assay format,CC[C@H](C)[C@@H]1NC(=O)CN(C)C(=O)[C@H](Cc2ccc(O)cc2)NC(=O)CSC[C@@H](C(N)=O)NC(=O)[C@@H]2CCCN2C(=O)[C@H]([C@@H](C)CC)NC(=O)[C@H](Cc2ccc(OC)cc2)N(C)C(=O)[C@H](Cc2ccc(OC)cc2)N(C)C(=O)[C@H](CC(N)=O)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](CCCCN)NC(=O)[C@H](C)NC1=O,,,CHEMBL4330179,ACS Med Chem Lett,2019,"{'bei': '3.03', 'le': None, 'lle': None, 'sei': None}",CHEMBL4454475,,CHEMBL4454475,4.78,0,http://www.openphacts.org/units/Nanomolar,3163577,=,1,1,=,,IC50,nM,,16500.0,CHEMBL4523954,Zika virus,Genome polyprotein,64320,,,IC50,uM,UO_0000065,,16.5
,18961441,[],CHEMBL4334289,Inhibition of C-terminal His6-tagged linked Zika virus NS2B-NS3 protease domain expressed in Escherichia coli Bl21(DE3) using Bz-Nle-Lys-Lys-Arg-AMC as substrate after 30 mins by fluorophotometric method,B,,,BAO_0000190,BAO_0000019,assay format,CC[C@H](C)[C@@H]1NC(=O)[C@H](C)NC(=O)[C@@H](Cc2ccc(O)cc2)NC(=O)CSC[C@@H](C(N)=O)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](Cc2ccc(OC)cc2)N(C)C(=O)[C@H]([C@@H](C)CC)NC1=O,,,CHEMBL4330179,ACS Med Chem Lett,2019,"{'bei': '3.17', 'le': None, 'lle': None, 'sei': None}",CHEMBL4538618,,CHEMBL4538618,5.15,0,http://www.openphacts.org/units/Nanomolar,3163579,=,1,1,=,,IC50,nM,,7100.0,CHEMBL4523954,Zika virus,Genome polyprotein,64320,,,IC50,uM,UO_0000065,,7.1
,18961448,[],CHEMBL4334291,Inhibition of C-terminal His6-tagged unlinked Zika virus NS2B-NS3 protease domain expressed in Escherichia coli Bl21(DE3) using Bz-Nle-Lys-Lys-Arg-AMC as substrate after 30 mins by fluorophotometric method,B,,,BAO_0000190,BAO_0000019,assay format,CC[C@H](C)[C@@H]1NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](C(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](Cc2ccc(OC)cc2)N(C)C(=O)[C@H]([C@@H](C)CC)NC(=O)[C@H](CCCCN)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)CSC[C@@H](C(N)=O)NC1=O,,,CHEMBL4330179,ACS Med Chem Lett,2019,"{'bei': '3.65', 'le': None, 'lle': None, 'sei': None}",CHEMBL4483351,,CHEMBL4483351,5.82,0,http://www.openphacts.org/units/Nanomolar,3163574,=,1,1,=,,IC50,nM,,1500.0,CHEMBL4523954,Zika virus,Genome polyprotein,64320,,,IC50,uM,UO_0000065,,1.5
,18961449,[],CHEMBL4334291,Inhibition of C-terminal His6-tagged unlinked Zika virus NS2B-NS3 protease domain expressed in Escherichia coli Bl21(DE3) using Bz-Nle-Lys-Lys-Arg-AMC as substrate after 30 mins by fluorophotometric method,B,,,BAO_0000190,BAO_0000019,assay format,COc1ccc(C[C@H]2C(=O)N[C@@H](CCCCN)C(=O)N(C)[C@@H](Cc3ccccc3)C(=O)N[C@@H](CCCCN)C(=O)N(C)[C@@H](CO)C(=O)N(C)[C@@H](Cc3ccc(OC)cc3)C(=O)N[C@@H](CCCCN)C(=O)N(C)[C@@H](Cc3ccc(OC)cc3)C(=O)N(C)[C@@H](Cc3ccc(OC)cc3)C(=O)N[C@@H](CCCCN)C(=O)N[C@H](C(N)=O)CSCC(=O)N[C@@H](Cc3ccc(O)cc3)C(=O)N2C)cc1,,,CHEMBL4330179,ACS Med Chem Lett,2019,"{'bei': '3.54', 'le': None, 'lle': None, 'sei': None}",CHEMBL4452943,,CHEMBL4452943,6.60,0,http://www.openphacts.org/units/Nanomolar,3163575,=,1,1,=,,IC50,nM,,250.0,CHEMBL4523954,Zika virus,Genome polyprotein,64320,,,IC50,uM,UO_0000065,,0.25
,18961450,[],CHEMBL4334291,Inhibition of C-terminal His6-tagged unlinked Zika virus NS2B-NS3 protease domain expressed in Escherichia coli Bl21(DE3) using Bz-Nle-Lys-Lys-Arg-AMC as substrate after 30 mins by fluorophotometric method,B,,,BAO_0000190,BAO_0000019,assay format,COc1ccc(C[C@H]2C(=O)N[C@@H](Cc3ccccc3)C(=O)N[C@H](C(N)=O)CSCC(=O)N[C@@H](Cc3ccc(O)cc3)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](Cc3ccccc3)C(=O)N[C@@H](Cc3ccc(O)cc3)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc3ccc(O)cc3)C(=O)N3CCC[C@H]3C(=O)N[C@@H](Cc3ccc(O)cc3)C(=O)N2C)cc1,,,CHEMBL4330179,ACS Med Chem Lett,2019,"{'bei': '3.28', 'le': None, 'lle': None, 'sei': None}",CHEMBL4555617,,CHEMBL4555617,5.66,0,http://www.openphacts.org/units/Nanomolar,3163576,=,1,1,=,,IC50,nM,,2200.0,CHEMBL4523954,Zika virus,Genome polyprotein,64320,,,IC50,uM,UO_0000065,,2.2
,18961451,[],CHEMBL4334291,Inhibition of C-terminal His6-tagged unlinked Zika virus NS2B-NS3 protease domain expressed in Escherichia coli Bl21(DE3) using Bz-Nle-Lys-Lys-Arg-AMC as substrate after 30 mins by fluorophotometric method,B,,,BAO_0000190,BAO_0000019,assay format,CC[C@H](C)[C@@H]1NC(=O)CN(C)C(=O)[C@H](Cc2ccc(O)cc2)NC(=O)CSC[C@@H](C(N)=O)NC(=O)[C@@H]2CCCN2C(=O)[C@H]([C@@H](C)CC)NC(=O)[C@H](Cc2ccc(OC)cc2)N(C)C(=O)[C@H](Cc2ccc(OC)cc2)N(C)C(=O)[C@H](CC(N)=O)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](CCCCN)NC(=O)[C@H](C)NC1=O,,,CHEMBL4330179,ACS Med Chem Lett,2019,"{'bei': '3.38', 'le': None, 'lle': None, 'sei': None}",CHEMBL4454475,,CHEMBL4454475,5.34,0,http://www.openphacts.org/units/Nanomolar,3163577,=,1,1,=,,IC50,nM,,4600.0,CHEMBL4523954,Zika virus,Genome polyprotein,64320,,,IC50,uM,UO_0000065,,4.6
,18961452,[],CHEMBL4334291,Inhibition of C-terminal His6-tagged unlinked Zika virus NS2B-NS3 protease domain expressed in Escherichia coli Bl21(DE3) using Bz-Nle-Lys-Lys-Arg-AMC as substrate after 30 mins by fluorophotometric method,B,,,BAO_0000190,BAO_0000019,assay format,CC(C)C[C@@H]1NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)CSC[C@@H](C(N)=O)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H]([C@@H](C)O)NC(=O)CN(C)C(=O)[C@H](CC(N)=O)NC(=O)[C@H](Cc2cnc[nH]2)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H]2CCCN2C1=O,,,CHEMBL4330179,ACS Med Chem Lett,2019,,CHEMBL4589938,,CHEMBL4589938,,0,http://www.openphacts.org/units/Nanomolar,3163578,>=,1,1,>=,,IC50,nM,,50000.0,CHEMBL4523954,Zika virus,Genome polyprotein,64320,,,IC50,uM,UO_0000065,,50.0
