activity,MaxAbsEStateIndex,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,AvgIpc,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea,MQN1,MQN2,MQN3,MQN4,MQN5,MQN6,MQN7,MQN8,MQN9,MQN10,MQN11,MQN12,MQN13,MQN14,MQN15,MQN16,MQN17,MQN18,MQN19,MQN20,MQN21,MQN22,MQN23,MQN24,MQN25,MQN26,MQN27,MQN28,MQN29,MQN30,MQN31,MQN32,MQN33,MQN34,MQN35,MQN36,MQN37,MQN38,MQN39,MQN40,MQN41,MQN42
0,8.880427153566895,8.880427153566895,0.6506113433827045,-4.439809834347988,0.3827884548692259,454.5739999999997,424.3340000000003,454.2368762000008,174,0,0.2324241310212559,-0.4762629031083714,0.4762629031083714,0.2324241310212559,1.1470588235294117,1.8823529411764703,2.617647058823529,10.360758971661474,-0.2442757188645624,-1.986250835285224e-17,-2.775411451850455,3.34328961263514e-16,-2.8516883209029835,1.4946176550394854,-1.1086516729430833,3.4132157496870974,1.92662453638586,2501.336376110354,49.53013304691797,46.60535096292756,16.60535096292756,28.654237532135816,23.99977815392748,9.10535096292756,6.032103713988186,6.032103713988186,3.945842255460537,3.945842255460537,2.498472535375842,2.498472535375842,-3.479999999999999,6961382575174.331,6.388935712586321,10.633164473012956,5.188689264880933,242.2285145915365,19.77364059743015,11.2591292638453,0.0,5.879988336435371,0.0,0.0,0.0,9.967957041894415,0.0,0.0,48.33934966130636,55.77867544799326,42.37783394579003,47.35334039230367,50.358937620276,0.0,0.0,20.587583748471168,5.893957685363079,19.242709486974704,26.528531511830423,78.59654434116291,0.0,39.52165029292028,15.356489660376802,0.0,5.879988336435371,0.0,36.496488553724845,6.496859684315945,5.893957685363079,56.69054086712197,77.45024378651925,2.8236841566564013,33.6416619564849,0.0,72.21000000000001,180.40302002482824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.967957041894415,50.358937620276,260.06444308876,0.0,7.6396291718592835,-1.4468372113595764,-7.401693219568905,-6.052451585358922,-10.947673054742552,-11.848083894904857,-19.673999961351093,0.0,0.2857142857142857,34,2,6,0,1,1,2,2,4,6,2,6,9,0,1,1,5,5.1684000000000045,134.4583999999999,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,1,3,1,1,34,39,0,0,18,11,0,9,8,6,0,0,0,0,0,1,1,3,3,21,5,0,0,1,4,0,0,0,0,0,0
0,13.837227536088918,13.837227536088918,1.0295072172144752,-4.186803547808015,0.2354871127108037,442.3759999999999,424.23200000000026,442.0899967760004,166,0,0.3383391563072865,-0.5076790312068092,0.5076790312068092,0.3383391563072865,0.96875,1.75,2.4375,12.73135781319047,-0.1660858289939289,0.60711772956202,-2.588661287576508,0.6357686434330474,-2.633079645286983,2.471590195268395,-0.875179086985862,3.0586995092051046,2.2032076835758474,1865.10591606574,37.83361614528182,33.08248290463863,15.082482904638631,23.360574619707112,16.55722777603022,8.199489742783179,5.907823076116512,5.907823076116512,3.818388567804751,3.818388567804751,2.4226615380582546,2.4226615380582546,-4.47,31198421097.913635,8.227352949431182,7.654260718058234,3.689118290729744,205.8439384700232,45.23538324535059,23.328553526801706,34.827577193369514,0.0,10.01839760062844,5.969305287951849,0.0,4.794537184071822,0.0,0.0,6.042418707663295,24.16967483065318,32.3261824123904,17.900278497228975,65.10826454729487,5.969305287951849,10.01839760062844,0.0,0.0,18.53296095522936,0.0,58.98728542873405,0.0,45.99609466627124,4.736862953800049,0.0,45.99609466627124,0.0,57.82937825328076,11.10978785512943,0.0,42.64325380398524,42.29693095364306,0.0,0.0,0.0,177.14,129.48564633818648,7.536054296412263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.761657337750485,31.82895051376052,156.77107264078631,0.0,13.837227536088918,29.54022840397573,-4.073335421659735,-11.191110849116075,-8.904937728631502,-12.06247791477703,0.0,0.0,0.1363636363636363,32,7,10,0,1,1,3,0,3,10,7,10,10,0,0,0,4,2.5276000000000005,107.2561,0,0,0,0,0,0,0,7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,9,1,32,29,1,0,14,9,0,10,20,10,0,0,0,0,1,8,1,0,1,18,3,0,0,0,4,0,0,0,0,2,1
0,13.66870916528023,13.66870916528023,0.0822451341647774,-4.403069516953933,0.6835835670062388,333.4349999999996,310.25100000000003,333.18411235600064,128,0,0.2672403145755023,-0.3505117361434422,0.3505117361434422,0.2672403145755023,1.28,2.08,2.88,10.138316195269534,-0.1829443061911459,1.82958055544152e-17,-2.7887153894120567,1.3582574284236268e-16,-2.8714166196329165,1.4289462167286122,-1.107816074577053,3.2581335831590987,2.017055349163734,1842.98059260956,37.39230484541327,35.24988907696374,12.249889076963738,21.45491223658291,18.13740571823168,6.795764931731806,4.548186553158378,4.548186553158378,2.9551470196629217,2.9551470196629217,1.8725328567376816,1.8725328567376816,-2.5899999999999994,5814949351.156185,4.383338659775403,7.112967481188808,3.58862292706068,179.677823793392,15.596629976806003,7.105770073176662,2.8236841566564013,0.0,5.907179729351506,0.0,4.794537184071822,0.0,0.0,0.0,42.29693095364306,54.8452672553743,32.47812873426942,12.33682700553198,36.44523454246082,16.81010466143256,0.0,15.596629976806003,5.893957685363079,12.74584980265876,19.49057905294784,60.07569636381811,0.0,11.126902983393991,10.619626706576751,0.0,0.0,0.0,30.374762052528595,0.0,5.893957685363079,50.64948610498348,54.38176836896965,4.235526234984602,22.02982791547505,0.0,56.92,136.76271725619114,4.794537184071822,0.0,4.977003270229252,0.0,0.0,0.0,0.0,0.0,0.0,31.650697358389,189.06165260878672,0.0,13.586464031115453,-2.515044975560036,-3.778025615391876,-6.529421213764685,-8.603194434976004,-8.418550678369332,-12.30387972184025,0.0,0.2857142857142857,25,3,4,0,1,1,2,1,3,2,3,4,4,0,1,1,4,3.564300000000002,101.66160000000004,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,1,2,1,0,25,28,1,0,14,8,0,4,5,4,0,0,0,0,1,0,2,1,0,16,5,0,0,1,3,0,0,0,0,2,1
0,13.908791801449176,13.908791801449176,0.5682569866534521,-4.164954530423281,0.6609227762303309,366.37299999999976,348.2290000000001,366.1215716760004,138,0,0.2931326090069627,-0.5076782071792802,0.5076782071792802,0.2931326090069627,1.3333333333333333,2.185185185185185,2.962962962962963,11.282955509410469,-0.1858771045793315,0.3437620310271769,-2.47539982167587,0.3118368432700603,-2.6430950979986885,2.359995014429322,-0.99829384156755,3.343010473664234,2.028295543926625,1764.8641882779173,34.51362518897291,30.935668643319232,12.935668643319232,20.514085089098877,15.856489036569169,7.092778860141485,4.910094372235563,4.910094372235563,3.2231788340176406,3.2231788340176406,2.105530122519423,2.105530122519423,-3.48,2466810370.366055,6.018160674023969,6.677579209624809,3.190152209451228,179.89038636402782,24.844490403406624,23.099936276559696,7.172089497202643,5.907179729351506,8.769579043816774,0.0,9.589074368143644,0.0,0.0,0.0,18.127256122989884,24.83068721798535,38.53605341901073,17.723051219996773,46.19706210829295,28.47099008949361,2.8623993144652684,4.899909730850478,0.0,18.763742271008404,11.80667303760432,54.0995970801808,0.0,11.49902366656781,5.309813353288376,5.687386274683562,11.49902366656781,0.0,42.30903703889877,4.794537184071822,0.0,43.86201274815835,52.75650059835971,1.4118420783282006,10.969244356107035,0.0,103.01,129.5399358757054,9.589074368143644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.217616382214423,29.252770672400118,150.27851484651785,0.0,27.07695774396893,7.132261912422437,-2.0985825570838825,-7.547284874090915,-12.659160535971228,-8.035504915917752,-3.980534953178803,0.0,0.2,27,3,7,0,1,1,2,1,3,5,3,7,5,0,1,1,4,3.0873000000000017,98.6738,0,0,0,0,0,0,0,2,0,0,2,2,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,1,1,4,1,27,25,2,0,13,8,0,5,12,7,0,0,0,0,2,2,3,0,1,15,4,0,0,2,2,0,0,0,0,2,1
1,9.090097089923168,9.090097089923168,0.5941165357793028,-4.688630174130491,0.3942764788013148,454.57399999999967,424.3340000000002,454.2368762000008,174,0,0.2326935472692214,-0.4732459506368577,0.4732459506368577,0.2326935472692214,1.2058823529411764,1.9411764705882355,2.647058823529412,10.363938139997996,-0.2448417140263376,1.6863320465097832e-18,-2.7912174185008767,7.587629099045595e-17,-2.861823580168383,1.4853173916076234,-1.1158197683592812,3.415463831220914,1.989662191294927,2503.336376110354,49.53013304691797,46.60535096292756,16.60535096292756,28.692912666730624,23.973384951677453,9.13174416517758,6.147362387729162,6.147362387729162,4.065971592331025,4.065971592331025,2.553408127321723,2.553408127321723,-3.479999999999999,7362528094003.739,6.388935712586321,10.199380903090928,4.88137192744061,242.07659973717952,20.183544219868047,18.750989369123488,0.0,5.879988336435371,0.0,0.0,0.0,9.967957041894415,0.0,0.0,48.33934966130636,55.654740665006685,42.37783394579003,39.42359659321714,50.40002114243397,0.0,0.0,15.277770395182792,11.613674661089352,32.174619631220374,12.99371936863189,78.59654434116291,0.0,39.52165029292028,15.766393282814697,0.0,5.879988336435371,0.0,29.04169443747629,6.496859684315945,5.893957685363079,62.17167442824744,77.45024378651925,4.235526234984602,33.6416619564849,0.0,86.2,180.21002164831324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.967957041894415,50.40002114243397,261.9368504201944,0.0,7.630470672830654,-0.8575670215747495,-8.006424758973637,-6.4142808071007495,-10.817053636228184,-17.054982597844617,-16.083678937969786,0.0,0.2857142857142857,34,3,6,0,1,1,2,2,4,6,2,6,9,0,1,1,5,5.296200000000004,134.18109999999996,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,1,3,1,1,34,39,0,0,18,11,0,9,8,6,0,0,0,0,0,1,1,3,3,21,5,0,0,1,4,0,0,0,0,0,0
0,13.98585738473066,13.98585738473066,0.1763200225944075,-6.333173948985945,0.5289478292391843,447.53799999999984,426.3700000000002,447.0922627720006,158,0,0.2932948870746814,-0.5042239828089694,0.5042239828089694,0.2932948870746814,1.3666666666666667,2.066666666666667,2.7333333333333334,11.282955509410446,-0.2436964506506439,3.5026556835560133e-16,-2.7343873179151403,0.0518112624365599,-2.798076058960879,1.7503293438810192,-1.0587615197979754,3.4454497373173347,1.9677295300005293,1982.047429771534,39.5660314317802,35.19937881974692,15.83237198160237,22.881222932908823,17.84600335348754,9.83885308678822,5.321549721575371,8.022599870731561,3.357418218846721,5.605424406968623,2.01402655492786,3.6733995798681134,-2.6899999999999995,22098411743.40697,7.180577385841187,7.858788055820341,3.9792335591102983,207.13517575858037,15.5274297355028,0.0,18.042424224735345,15.930470882759089,2.8623993144652684,0.0,4.794537184071822,13.401775505276143,4.305215991296234,0.0,28.98507478495832,31.68257933528103,47.42161714336424,23.33665544662445,49.515446640007376,42.61543587461852,2.8623993144652684,9.289194512243444,5.893957685363079,24.493225395472216,18.303532721920263,41.81796373767676,0.0,11.49902366656781,5.309813353288376,5.131558479839333,11.49902366656781,11.336785877934735,49.68790629123546,14.817828337479405,12.745849802658755,42.982955305419736,41.14999572149754,1.4118420783282006,10.216620634085364,0.0,119.83,137.59156919498017,13.212334168400758,0.0,11.336785877934735,0.0,0.0,0.0,0.0,0.0,15.201594903161634,28.94789540385743,196.91028893017608,0.1763200225944075,15.687367876721783,6.948818794557967,-1.8573615274504325,-8.469487762501185,-7.913064237979912,-9.072500604070324,-12.493874209729151,-6.333173948985945,0.3,30,3,8,0,1,1,2,1,3,7,3,10,7,0,1,1,4,3.055320000000002,114.24110000000002,0,0,0,0,0,1,0,2,0,0,1,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,20,0,0,0,0,2,0,1,2,5,0,30,29,3,0,14,8,0,7,13,8,0,0,0,0,3,2,2,2,2,14,5,0,0,1,3,0,0,0,0,2,1
0,8.868486213770531,8.868486213770531,0.4460407211127326,-4.389037991998973,0.4537161643961412,441.5389999999997,414.3230000000002,441.22770848400086,168,0,0.232424131084865,-0.4762629031082926,0.4762629031082926,0.232424131084865,1.181818181818182,1.9393939393939397,2.6666666666666665,10.904901760337747,-0.1829284437758029,1.5421255287359307e-16,-2.7754112723116635,6.83253907185226e-17,-2.85168830972571,1.7164387721466083,-1.1086507265306982,3.4589573300331184,1.9104807358679572,2349.2294143495437,46.15988955891488,43.038743458963566,16.03874345896357,27.03222906420767,22.13595705446353,8.794316267963653,5.812573810740237,5.812573810740237,3.798457950320586,3.798457950320586,2.3845217090648947,2.3845217090648947,-3.619999999999999,1605348782415.4536,6.490682361604945,9.890489588510908,4.916516531988206,230.4977518645148,15.766393282814697,9.929454229833064,0.0,5.879988336435371,0.0,0.0,0.0,14.6497599770396,0.0,5.098681808301038,41.46789734163463,49.28181576367731,32.70210678558235,54.278846375105495,41.870594536869945,0.0,0.0,30.271640234283883,11.613674661089352,19.242709486974704,19.55270461154818,72.42148678544763,0.0,34.08213358420985,15.766393282814697,0.0,5.879988336435371,0.0,44.51453149254368,6.496859684315945,5.893957685363079,51.20750664244108,66.85803529375065,4.235526234984602,28.202145247774475,0.0,103.77,162.22252248255816,0.0,0.0,0.0,4.681802935145185,0.0,0.0,0.0,0.0,20.280023945850324,41.870594536869945,230.6072339129132,0.0,7.67197855684846,6.034759089655722,-6.732124921928404,-5.932399530319025,-9.324876639923506,-11.439755458853083,-15.63481500839336,0.0,0.28,33,3,8,0,1,1,2,2,4,8,2,8,8,0,1,1,5,3.228400000000001,126.8011,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,1,6,1,0,33,35,0,0,18,11,0,8,9,8,0,0,0,0,0,1,1,2,4,20,5,0,0,1,4,0,0,0,0,0,0
0,8.715352608779112,8.715352608779112,0.3138468940721375,-4.29082392505988,0.6965362182586686,364.4529999999996,340.2610000000001,364.2011593880007,140,0,0.2339060919406397,-0.4762267533360485,0.4762267533360485,0.2339060919406397,1.4444444444444444,2.2962962962962963,3.037037037037037,10.468365331149236,-0.1829279661349267,7.792475778396148e-18,-2.775393352655749,5.246243085799816e-17,-2.851691767034952,1.4460623514073905,-1.1086505291355797,3.256699052842761,2.067354354908454,1853.1528307823723,39.5660314317802,37.09152986346361,13.091529863463611,22.800178256638787,18.93595705446353,7.094316267963654,4.599524293890267,4.599524293890267,2.947908433470618,2.947908433470618,1.8312513040149887,1.8312513040149887,-2.77,20226426075.60737,4.981993103177354,8.282130374960797,4.149758678068145,192.037644608596,15.766393282814697,9.929454229833064,5.817862777835028,5.879988336435371,0.0,0.0,0.0,9.665781456092391,10.082660329248244,0.0,24.16967483065318,43.23939705601401,39.4844457155149,26.439466015433247,37.75831886835928,0.0,0.0,25.05825513862901,11.613674661089352,19.242709486974704,19.55270461154818,54.29423066245775,0.0,22.955230600815856,15.766393282814697,0.0,5.879988336435371,0.0,39.30114639688881,6.496859684315945,5.893957685363079,47.095230973930406,48.73077917076076,4.235526234984602,17.075242264380485,0.0,90.88,132.96836337617424,0.0,0.0,0.0,4.681802935145185,0.0,0.0,0.0,0.0,15.066638850195456,37.75831886835928,200.90301046337504,0.0,7.5268477969891645,2.854127295014163,-3.4379226554129296,-6.729451328717497,-5.428191772156021,-11.48279372618716,-15.28895940623806,0.0,0.35,27,3,7,0,1,1,1,2,3,7,2,7,7,0,1,1,4,2.1663999999999994,103.57010000000002,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,1,5,1,0,27,31,0,0,15,8,0,7,8,7,0,0,0,0,0,1,1,2,3,15,5,0,0,1,3,0,0,0,0,0,0
0,8.807021595833548,8.807021595833548,0.5987061103996623,-4.640112865159262,0.5188104087210577,417.5569999999996,386.3090000000002,417.2528606120009,162,0,0.2324140824898556,-0.4765489846113456,0.4765489846113456,0.2324140824898556,1.064516129032258,1.6774193548387095,2.290322580645161,4.747886283244082e-15,-0.1835839441943001,-1.7797778129980827e-16,-2.7951769032290774,-9.14400819658678e-17,-2.8446482146116185,5.044808018203505e-16,-1.1251359832845884,3.124377447983892,2.1849822383561888,2227.3405165089225,48.59097545816253,46.14431626796365,15.144316267963651,27.54308275246957,23.433170649963483,8.197102672463696,5.35091749614029,5.35091749614029,3.4455577370501342,3.4455577370501342,2.1183173538359297,2.1183173538359297,-2.799999999999999,1718308617675.777,5.392698586656468,10.484472496125424,5.468866908980384,227.45109284309245,21.48611025854097,12.753138386489464,0.0,5.879988336435371,0.0,0.0,0.0,9.967957041894415,0.0,0.0,48.33934966130636,49.1333547413771,44.68200069457921,33.50415256645193,47.43579580586679,0.0,0.0,15.277770395182792,17.333391636815627,32.11249407262003,19.55270461154818,65.6391478555151,0.0,28.394747309526284,21.48611025854097,0.0,5.879988336435371,0.0,29.52066165344259,12.99371936863189,5.893957685363079,65.88540014780791,54.51224487212112,7.059210391641003,22.514758973090917,0.0,99.08,168.34229883931366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.967957041894415,47.43579580586679,261.18791342651383,0.0,7.497011560018863,-0.8470574596085436,-8.334210998861998,-6.245827888498641,-10.52482047855241,-14.90206130340738,-19.414280190937127,0.0,0.36,31,5,6,0,1,1,2,1,3,6,3,6,10,0,1,1,4,3.496500000000002,124.3925,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,2,3,1,0,31,41,0,0,15,9,0,10,7,6,0,0,0,0,0,1,2,4,2,17,5,0,0,0,4,0,0,0,0,0,0
1,13.255086286835922,13.255086286835922,0.1072312834477058,-1.3929088456370204,0.4642512838308755,362.4099999999999,348.2980000000001,362.0725133080004,128,0,0.2932948870746814,-0.504223982808964,0.504223982808964,0.2932948870746814,1.0384615384615383,1.7307692307692308,2.4615384615384617,12.589358860139454,-0.0935042382654227,0.6331210607227129,-2.2672619477505958,0.7058126704111098,-2.289586519673739,3.0640918231285963,-0.764241458710361,3.388168622042085,1.8920052574024733,1639.6107703855791,29.952782777728338,26.52742035285537,13.343916933783094,18.702590137954747,13.678758093587255,7.7315444980873,4.749374854055257,5.726895661421162,3.067150204561542,3.9318339596130434,1.9125029057115013,2.697640528281498,-3.379999999999999,484901818.1458995,6.735580600255685,6.495243382084648,3.097721609607052,172.65304536800087,10.217616382214423,0.0,18.042424224735345,0.0,8.769579043816774,0.0,10.104350537360196,4.9839785209472085,0.0,0.0,53.6337168315778,23.21174039872058,17.648288907023584,25.294964751957774,31.502339762486866,32.592144721210936,2.8623993144652684,4.9839785209472085,0.0,0.0,5.309813353288376,72.03005727599324,0.0,22.6259266499618,5.309813353288376,5.131558479839333,11.49902366656781,11.336785877934735,23.97117394697841,0.0,0.0,25.436332793641235,66.46660578429623,1.4118420783282006,21.343523617479352,0.0,82.45,105.69472213514592,4.794537184071822,0.0,15.526433987373736,11.336785877934735,0.0,0.0,0.0,0.0,15.201594903161634,19.35258551066589,111.75569418682102,0.5401189819415686,17.202147859509658,8.197378666827738,-2.386653769419787,-2.570308315755645,-8.571710943257886,0.0,0.0,0.0,0.0,26,3,5,0,0,0,3,1,4,5,3,6,5,0,0,0,4,4.626800000000003,102.78079999999996,0,0,0,0,0,1,0,2,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,20,0,0,0,0,1,0,1,1,3,0,26,20,1,0,11,11,0,5,8,5,0,0,0,0,1,2,2,0,2,19,0,0,0,1,3,0,0,0,0,2,1
